Artista,Nome da Música,Letra da Música
Aviões do Forró,Se Não Valorizar (Umbrella),"Se não valorizar
com certeza você vai me perder
embora eu te ame sim
eu juro não vou suportar
ver você me enganar
cansei de perdoar
se liga no que vou dizer:
""me amo mais do que a você""

Por que
você esnobou meus sentimentos
depois voltou com os seus lamentos
mas agora vi que não valia a pena
te amar tanto assim por que
toda vez que eu te aceitava
você vinha e aprontava
só eu sei o que passei, sofri calada
vai me perder se não valorizar

Amo, amo você ê
mas se não valorizar
vai me perder ê
pode ter a certeza
Amo, amo você ê
mas se não valorizar
vai me perder ê ê ê ê

Pense bem
não sou mulher de perdoar
comigo se não deu bye, bye
chega, não te quero mais
desculpa mas eu sou assim
não te deixo pisar em mim
se liga no que vou dizer:
""me amo mais do que a você""

Por que
você esnobou meus sentimentos
depois voltou com os seus lamentos
mas agora vi que não valia a pena
te amar tanto assim por que
toda vez que eu te aceitava
você vinha e aprontava
só eu sei o que passei, sofri calada
vai me perder se não valorizar

Amo, amo você ê
mas se não valorizar
vai me perder ê
pode ter a certeza
Amo, amo você ê
mas se não valorizar
vai me perder ê ê ê ê

Te entreguei o coração
você brincou, foi tudo uma ilusão pra mim
sei que foi assim
sinto muito meu amor
mas o seu tempo acabou

Por que
você esnobou meus sentimentos
depois voltou com os seus lamentos
mas agora vi que não valia a pena
te amar tanto assim por que
toda vez que eu te aceitava
você vinha e aprontava
só eu sei o que passei, sofri calada
vai me perder se não valorizar

Amo, amo você ê
mas se não valorizar
vai me perder ê
pode ter a certeza
Amo, amo você ê
mas se não valorizar
vai me perder ê ê ê ê"
Aviões do Forró,Será,"Meu amor
Se ainda me ama, fale agora
Se não, vou
Dizer adeus e cair fora

Será que você ainda tá sozinha?
Ou já tem outra pessoa?
Será que você ainda tá na minha?
Ou já anda por aí sorrindo à toa?

Será?
Será que você não é quem eu pensava?
Será?
Será que realmente você me enganava?

Se te magoei
Por favor, me diz onde errei?
Agora tô sozinho
Quebrei a cara
Perder você foi caro, paguei

Se te magoei
Por favor, me diz onde errei?
Agora tô sozinho
Quebrei a cara
Perder você foi caro, paguei

Meu amor
Se ainda me ama, fale agora
Se não, vou
Dizer adeus e cair fora

Meu amor
Se ainda me ama, fale agora
Se não, vou
Dizer adeus e cair fora"
Aviões do Forró,Sintonia e Desejo (Part. Ivete Sangalo),"Toda hora me vem um desejo
Até a lua sabe o segredo de nós dois
A lenda de um amor
Reduto de paixão e prazer...
Fogo que me acende e me queima
Essa loucura toda que eu só sinto por você
Ainda sei de cor
Seu jeito, seu gemido e seu cheiro...
Toda hora me vem um desejo
Até a lua sabe o segredo de nós dois
A lenda de um amor
Reduto de paixão e prazer...
Fogo que me acende e me queima
Essa loucura toda que eu só sinto por você
Ainda sei de cor
Seu jeito, seu gemido e seu cheiro...

Olha...
Faça valer a nossa história
Nossos momentos bons de glória e paz
De sintonia e desejo...

O meu coração cheio de paixão
Bate por você
Preciso te dizer te amo...
Uuhhh
O meu coração cheio de paixão
Bate por você
Preciso te dizer te amo
Uuhhh

Toda hora me vem um desejo
Até a lua sabe o segredo de nós dois
A lenda de um amor
Reduto de paixão e prazer...
Fogo que me acende e me queima
Essa loucura toda que eu sinto por você
Ainda sei de cor
Seu rosto, seu gemido e seu cheiro...

Olha...
Faça valer a nossa história
Nossos momentos bons de glória e paz
De sintonia e desejo...

O meu coração cheio de paixão
Bate por você
Preciso te dizer eu te amo...
Uuhhh
O meu coração cheio de paixão
Bate por você
Preciso te dizer te amo
Uuhhh
Eu te amo..


Olha...
Faça valer a nossa história
Nossos momentos bons de glória e paz
De sintonia e desejo...

O meu coração cheio de paixão
Bate por você
Preciso te dizer te amo...
Uuhhh
O meu coração cheio de paixão
Bate por você
Preciso te dizer te amo
Uuhhh

Toda hora me vem um desejo
Até a lua sabe o segredo de nós dois
A lenda de um amor
Reduto de paixão e prazer...
Fogo que me acende e me queima
Essa loucura toda que eu sinto por você
Ainda sei de cor
Seu rosto, seu gemido e seu cheiro...

Olha...
Faça valer a nossa história
Nossos momentos bons de glória e paz
De sintonia e desejo...

O meu coração cheio de paixão
Bate por você
Preciso te dizer eu te amo...
Uuhhh
O meu coração cheio de paixão
Bate por você
Preciso te dizer te amo
Uuhhh
Eu te amo.."
Aviões do Forró,Tantinho,"Decundê odá
Dara, odara, thiriririri yara
Oh yeah, yeah, yeah
Dara, odara, thiriririri yara
Oh yeah, yeah

Fiz essa canção em coma de amor
Como sou feliz e sei que estou
Nunca amei ninguém um tantinho assim
Sem gostar de quem gostar de mim

Fiz essa canção pro tempo passar
Como estou, só quero te abraçar
Se é ilusão, desligue a razão
Pra bater feliz meu coração

Agora que subi ladeira, sossego
Que a poesia em minha horta choveu
Eu te quero aqui

Bem-vinda a minha vida, linda, calor
Você é vitamina, guia e é show
Vem grudar em mim

Por isso então dá-me tua mão
Por isso então dá-me tu amor
Por isso então dá-me tu amor (bis)"
Aviões do Forró,Tira da Tomada (Part. Make u Sweat),"Tira da tomada seus problemas
E vem cá curtir
Essa vibe tá tão boa

Eu tô num lugar
Onde o sorriso é a senha pra entrar
Eu não vejo a hora de te encontrar
Eu tô só esperando, só esperando

Você chegar
Você chegar
(Você chegar)


Tira da tomada seus problemas
E vem cá curtir
Essa vibe tá tão boa

Eu tô num lugar
Onde o sorriso é a senha pra entrar
Eu não vejo a hora de te encontrar
Eu tô só esperando, só esperando

Você chegar
Você chegar
(Você chegar)"
Aviões do Forró,"Vai, Vai Que Tá Gostoso","Vai, vai,vai que tá gostoso é,
é bem gostosinho, ela se deita e pede pra alisar o seu bichinho.
Vai, vai, vai que tá gostoso é,
é bem gostosinho ela se deita e pede pra alisar seu bichinho.

Eu gosto de sair,
com a minha namorada,
de preferência cedo e só voltar de madrugada,
mas quando chego em casa, e vejo ela cansada,
deitada no sofá pra tirar uma cochilada,
enquanto ela descansa eu cuido do bichinho, do jeito que ela pede
me fazendo carinho,
tô tão acostumado que não durmo sem ela,
deitada perto de mim
pra mexer no bichinho dela.

Vai, vai que tá gostoso, é,
é bem gostosinho
ela se deita
e pede pra alisar seu bichinho"
Aviões do Forró,Vou me Jogar Nos Braços,"Não vou te dar o gostinho de me ver sofrer
De me ver sofrer (bis)

Vou me jogar nos braços
Da primeira que me quiser
Vou me jogar nos braços
Da primeira que me quiser (bis)

Faça o que quiser da sua vida
Quero ver se você aguenta a pressão
De suportar ver alguém me beijando
Me pegando, me agarrando
Me chamando de tesão (bis)

Vou me jogar nos braços
Do primeiro que me quiser
Vou me jogar nos braços
Do primeiro que me quiser (bis)

Vou me jogar nos braços
Da primeira que me quiser
Vou me jogar nos braços
Da primeira que me quiser (bis)



Não vou te dar o gostinho de me ver sofrer
De me ver sofrer (bis)

Vou me jogar nos braços
Da primeira que me quiser
Vou me jogar nos braços
Da primeira que me quiser (bis)

Faça o que quiser da sua vida
Quero ver se você aguenta a pressão
De suportar ver alguém me beijando
Me pegando, me agarrando
Me chamando de tesão (bis)

Vou me jogar nos braços
Do primeiro que me quiser
Vou me jogar nos braços
Do primeiro que me quiser (bis)

Vou me jogar nos braços
Da primeira que me quiser
Vou me jogar nos braços
Da primeira que me quiser (bis)

Vou me jogar nos braços
Do primeiro que me quiser
Vou me jogar nos braços
Do primeiro que me quiser

Vou me jogar nos braços
Da primeira que me quiser
Vou me jogar nos braços
Da primeira que me quiser"
Aviões do Forró,Vou te Amar de Novo,"Já tô sabendo o que aconteceu
Obviamente vou fingir que não doeu
Que eu não tenho ciúme, nem um pouquinho
Mas vou te dar o troco bem devagarinho

Só de vingança eu vou te amar de novo
E tudo que eu te dei vou dar em dobro
Cê vai pagar com juros com seu carinho
Pra gente resolver isso sozinho

E hoje eu vou te amar de novo
Hoje eu ressuscito o nosso amor
E Hoje eu vou te amar de novo
Hoje eu ressuscito o nosso amor

Vai ser assim
Ai de você
Ai de você
Ai de você se não se apaixonar por mim
Ai de você
Ai de você
Ai de você se não se apaixonar por mim

Só de vingança eu vou te amar de novo
E tudo que eu te fiz, fazer em dobro
Cê vai pagar com juros com seu carinho
Pra gente resolver isso sozinho

E hoje eu vou te amar de novo
Hoje eu ressuscito o nosso amor
E Hoje eu vou te amar de novo
Hoje eu ressuscito o nosso amor

Vai ser assim
Ai de você
Ai de você
Ai de você se não se apaixonar por mim
Ai de você
Ai de você
Ai de você se não se apaixonar por mim"
Aviões do Forró,Vou te Pegar,"Vou te pegar
Vou te jogar na cama
Vou te pegar
Botar lenha nessa chama
Vou te pegar
Vou te dar banho de língua
Vou te pegar
Esse seu corpo me fascina

Vou te pegar
Vou te jogar na cama
Vou te pegar
Botar lenha nessa chama
Vou te pegar
Vou te dar banho de língua
Vou te pegar
Esse seu corpo me fascina

Que conversa é essa
Não sou só de ficar
Que conversa é essa
Sou mulher pra namorar
Que conversa é essa
Na vontade vai ficar
Do jeito que tu quer
Todo homem diz amar

Na vontade, na vontade você vai ficar
Na vontade, na vontade você vai ficar
Na vontade, na vontade você vai ficar
Na vontade, na vontade você vai ficar
Na vontade, na vontade você vai ficar
Na vontade, na vontade você vai ficar
Na vontade, na vontade você vai ficar
Na vontade, na vontade você vai ficar"
Aviões do Forró,"Vuco, Vuco (Feat. Solteirões do Forró)","Você nunca me amou, só me quer pr'aquela hora
Me pega, vuco, vuco, vuco, vuco e vai embora (2x)

No vuco-vuco, você chega sem demora
Passa a perna e vai embora
Some sem eu perceber
Me deixando sem prazer
Me deixando sem prazer

É vuco, vuco, vuco, vuco, vuco, vuco e não demora
Me pega, vuco, vuco, vuco, vuco e vai embora (2x)"
Aviões do Forró,We Are The World Of Carnaval,"Ah, que bom você chegou
Bem-vindo a Salvador
Coração do Brasil

Vem, você vai conhecer
A cidade de luz e prazer
Correndo atrás do trio

Vai compreender que o baiano é
Um povo a mais de mil
Que ele tem Deus no seu coração
E o Diabo no quadril

We are Carnaval
We are folia
We are the world of Carnaval
We are Bahia"
Mastruz Com Leite,"Parabéns, Meu Amor (Feliz Aniversário)","Hoje é o seu aniversário
De parabéns estou eu
Por te conhecer, por ter alguém como você
E poder compartilhar tudo a seu lado
Tudo em mim é festa em homenagem a você
Dedico todo amor que existe a você
Neste dia especial em que você nasceu
Nosso mundo não era o mesmo sem você

Feliz aniversário meu amor
Que tudo se realize em sua vida
Continue com essa paz
Com esse amor que sempre traz no seu sorriso

Feliz aniversário meu amor
Que Deus cubra de bençãos sua vida
Cada dia mais te amamos
Você é especial em nossas vidas"
Mastruz Com Leite,Meu Cenário de Amor,"Nos braços de uma morena quase morro um belo dia
Ainda me lembro meu cenário de amor
Um lampião aceso o guarda roupa escancarado, vestidinho amassado debaixo de um batom
Um copo de cerveja, uma viola na parede, e uma rede convidando a balançar
No cantinho da cama um rádio a meio volume, o cheiro de amor e de perfume pelo ar
Numa esteira o meu sapato pisando o sapato dela
Em cima da cadeira, aquela minha bela cela ao lado do meu velho alforge de caçador
Que tentação, minha morena me beijando feito abelha
A lua malandrinha pela brechinha da telha, fotografando o meu cenário de amor"
Mastruz Com Leite,A Raposa e As Uvas,"Lembro com muita saudade daquele bailinho
Onde agente dançava bem agarradinho
Onde agente ia mesmo é pra se abraçar
Você com um laquê no cabelo e um vestido rodado
E aquelas anáguas com tantos babados
E você se sentava só pra me mostrar

E tudo que agente transava eram três, quatros cubas
Eu era a raposa, você era as uvas
E eu sempre querendo o teu beijo roubar
E por mais que você se esquivasse eu tinha certeza
Que no fim do baile, na minha lambreta
Aquele broto bonito ia me abraçar

Refrão

Eu lhe apertava e olhava seu busto
Dentro do corpete querendo pular
Eu todo cheiroso a ""lacaster"" e você a ""chanel""
Eu era um menino mas fazia o papel
De um homem terrível só pra lhe aguardar

Refrão

E ao chegar em tua casa em frente ao portão
Um beijo um abraço, minha mão tua mão
Com medo que o velho pudesse acordar
A pílula já existia mas nem se falava
Pois dos muitos conselhos que a tua mãe te dava
Tinha um que dizia só depois de casar"
Mastruz Com Leite,A Rival,"Não adianta insisti não vou tirar o meu time de campo
Pode ligar, te seduzir, te procurar que eu não tô nem ai
Se você diz pra mim que sou a sua dona
Seu amor, sua paixão
Deixa ela tentar a sorte do seu coração

Acho que ela não sabe perder
O mesmo erro não cometer
Não vai te faltar carinho, amor você vai ver

Quem tá na chuva é pra se molhar
Bola na trave não vira o placar
Você perdeu seu lamento
Ele não vai voltar

Vai, vai
Corre atrás do que você perdeu
Vai, vai
Esse jogo quem venceu foi eu
Vai, vai
Sinto muito não me leve a mal
Mas não tenho medo de rival

Vai, vai
Tá perdendo tempo meu amor
Vai, vai
Já faz tempo que você dançou
Vai, vai
Vai fazer barulho em outro lugar
Esse jogo ninguém vai virar"
Mastruz Com Leite,Água de Chuva,"Água de chuva é sangue
Pra quem vive no sertão
Água de chuva é fogo
Quando inunda a cidade

Pra quem vive nos barracos
Água de chuva é lágrima
Água de chuva é um rio
Deixando pra trás o sertão
São pingos de suor
De quem perdeu a plantação
É a barragem da saudade
Sangrando no coração

Água de chuva é a morena
Molhadinha na ladeira
Água de chuva é céu
Pro homem que ajeita a goteira
Água de chuva é o inferno
Pra quem dá festa em feira

Água, água, água, água"
Mastruz Com Leite,Ainda Amo Você,"É mais um dia sem você
Meu coração já não aguenta, está cansado de sofrer
Toda hora quer lhe ver e você não aparece
Me ligue ao menos pra dizer que você já me esqueceu
Que o amor já não existe
Que saiu da minha vida, que aquilo era loucura
E não passou de uma aventura

Me diz porque saiu assim sem nada a me dizer
Não posso aceitar pois eu amo você
Quem te roubou de mim? Quero tanto saber
Te ver nos braços de outro alguém não posso suportar
A solidão machuca e me faz chorar
Saudade aperta o peito e me faz sofrer
Preciso tanto de você"
Mastruz Com Leite,Ainda Te Amo,"Quanto te vi abraçando
Uma outra pessoa
Eu juro tentei numa boa
Tentei me segurar
Até me controlar

Lembrei que até outro dia
Você me abraçava
Dizia o quanto me amava
A gente se adorava
E agora tudo acabou

E agora com outro alguém
Tá todo aquele carinho
Que a me dedicava
Que a me pertencia
Não dá pra suportar

Ainda te amo
Não vou perder você
Dividir com ninguém

E agora com outro alguém
Tá todo aquele carinho
É A mim que pertence
Teus beijos e abraços
E teu sorriso

Eu sei que me amas
E não vou perder você
É demais pra mim

Volta que ainda te espero
Eu sempre te quero e sei
Que me queres também"
Mastruz Com Leite,Algo Diferente,"Eu nunca tinha amado alguém tanto assim
Será que foi feitiço que jogou em mim
Pra deixar desse jeito esse meu coração
Foi a primeira vez que isso me aconteceu
Não tenho mais poder nenhum sobre o meu eu
Tô sendo dominada por essa paixão

O som da tua voz me deixa dependente
Distante de você me sinto tão carente
A madrugada é fria sem o teu querer
Nem imagina o quanto eu te quero perto
Você é como oásis nesse meu deserto
Meu coração só bate forte por você

Chegou na minha vida sem eu esperar
E sem explicação eu passei a te amar
Me rendo sei que eu estou em tuas mãos
Chegou e dominou o meu ser por inteiro
Me fez virar refém, me fez teu prisoneiro
E até meus pensamentos agora teus são

Jamais tinha sentido algo forte assim
Você exerce um forte poder sobre mim
A vida com você não tem nenhum defeito
Me fez sentir de novo como adolescente
Faz tempo que eu não sinto algo diferente
É tanto amor que já não cabe no meu peito"
Mastruz Com Leite,Amigo Velho Tocador,"Que bom a gente ouvir o som dos 8 baixos
De um velho 8 baixo no interior
Na mão de um tocador que toca a noite inteira
No forró tem gemedeira, num forró bem gemedor

Oi toque, toque, toque, toque toque sanfoneiro toque
Sanfoneiro sem parar
E vai tocando, vai bebendo, vai gemendo
Que tem gente me querendo e a gente quer dançar

E vai bebendo, vai cochilando
Mais vai tocando gemedor
Que eu to gostando, que eu to amando
Ai eu to gamando amigo velho tocador"
Mastruz Com Leite,Amor de São João,"O nosso amor nasceu de uma fogueira
Numa noite de São João
Tinha forró, comida e brincadeira
Todo mundo dançando no salão

Você puxou minha mão
Me tirou para dançar
E me levou pra perto da fogueira
Começamos a namorar
Foi aí que o calor bateu
Pra santo Antônio você prometeu
Que só ia deixar de me amar
No dia que o forró acabar

Eu sou feliz. (feliz) porque eu sei
Que o forró não vai morrer
E eternamente eu terei você
Dentro do meu coração
Vamos dançar
E arrochar o nó a noite inteira
Cuidado pra não se queimar na fogueira

Nossa vida é um São João [bis]"
Mastruz Com Leite,"Amor, Amor, Amor","Ah! Que bom se eu encontrasse
Alguém que só falasse de amor, amor, amor, amor
Ah! Que bom se eu tivesse
Alguém que só me desse amor, amor, amor, amor
Não se esqueça meu amor
Seria bom demais
Pois eu teria a paz
A paz que tenho amor

Não se esqueça meu amor
E um mundo bem melhor
Teria ao meu redor
Um mundo de amor

Repete 2x a música inteira"
Mastruz Com Leite,Anjo Querubim,"Fiz você pra mim, meu brinquedo meu anjo querubim
Meu segredo guardado só pra mim, meu amor mais louco
Até de tanto amar, fiz também algo pra gente ninar
Uma criança pra gente adorar, tudo num sufoco

E você não gosta mais de mim
Vem dizer que eu não soube dar amor
E achar que a vida é mesmo assim
Cada um leva um barco sofredor

Meu baião, coração
Arranca essa dor do meu peito, pra eu não chorar
Meu baião, coração
Arranca essa dor do meu peito, pra eu não chorar
Comprei sururu, camarão, fiz batida de cajú
Dancei rumba e até maracatu, pra te fazer feliz
Fui até Natal, Salvador, Paraíba, Bacabal

Em Belém você quase passou mal
E eu te fiz feliz
E você não gosta mais de mim
Vem dizer que eu não soube dar amor
E achar que a vida é mesmo assim
Cada um leva um barco sofredor

Meu baião, coração
Arranca essa dor do meu peito, pra eu não chorar
Meu baião, coração
Arranca essa dor do meu peito, pra eu não chorar

Meu baião, coração
Arranca essa dor do meu peito, pra eu não chorar
Meu baião, coração
Arranca essa dor do meu peito, pra eu não chorar"
Mastruz Com Leite,Arraiá Virtuá,"Alavantu pra tu, anarriê pra eu
Tu no teu canto e eu dançando aqui no meu

Vontade voa e a saudade cria asa
Vai ter São João mas cada qual na sua casa
Vontade voa e a saudade cria asa
Vai ter São João mas cada qual na sua casa

Hey, hey, hey!
Mastruz Com Leite!

O meu São João esse ano é diferente
Vai ter multidão de gente dançando
Pra lá, pra cá, pra cá, pra lá

Cada casal vai dançando no seu lar
O São João esse ano vai ser virtuá
Cada casal vai dançando no seu lar
São João na internet no arraiá virtuá

Alavantu pra tu, anarriê pra eu
Tu no teu canto e eu dançando aqui no meu

Vontade voa e a saudade cria asa
Vai ter São João mas cada qual na sua casa
Vontade voa e a saudade cria asa
Vai ter São João mas cada qual na sua casa

Hey, hey, hey!
Mastruz Com Leite!

Em seus lugares todo mundo nos seu lares
Uma fogueira pelos ares distantes nessa união
As bandeirinhas penduradas nessa rede
Um sinal que vai subindo cada instante meu balão

Alavantu pra tu, anarriê pra eu
Tu no teu canto e eu dançando aqui no meu

Vontade voa e a saudade cria asa
Vai ter São João mas cada qual na sua casa
Vontade voa e a saudade cria asa
Vai ter São João mas cada qual na sua casa

Os namorados? Usando máscaras
No trancelim? Lavando as mãos
Os cumprimento? De cotovelos
Com a proteção de São João

Alavantu pra tu, anarriê pra eu
Tu no teu canto e dançando aqui no meu

Vontade voa e a saudade cria asa
Vai ter São João mas cada qual na sua casa
Vontade voa e a saudade cria asa
Vai ter São João mas cada qual na sua casa

Hey, hey, hey!
Mastruz com Leite!"
Mastruz Com Leite,As Moças do Calendário,"Eu ficava imaginando
Me balançando na rede
E olhando na parede as moças do calendário
Eu tinha uns 14 anos
Nos calendários da Shell
E todo dia eu ma casava
Na mão era a lua-de-mel

(Refrão)
Eu era feliz e já sabia
Eu só não sabia que passava
A felicidade com os dias
Das folhas do calendário que eu arrancava

Me trancava no banheiro
Era uns banhos demorados
Minha cara só de espinhas, saía desconfiado
E a filha da vizinha que eu traçava em pensamento
Na verdade era as galinhas
E a jumenta do convento

(Refrão)"
Mastruz Com Leite,Asa Branca,"Quando olhei a terra ardendo
Qua fogueira de São João
Eu preguntei a Deus do céu, uai
Por que tamanha judiação

Que braseiro, que fornaia
Nem um pé de prantação
Por farta d'água perdi meu gado
Moreu de sede meu alazão

Inté mesmo a asa branca
Bateu asas do sertão
""Intonce"" eu disse a deus Rosinha
Guarda contigo meu coração

Hoje longe muitas léguas
Numa triste solidão
Espero a chuva cair de novo
Para eu voltar pro meu sertão

Quando o verde dos teus oio
Se espalhar na prantação
Eu te asseguro não chore não, viu
Que eu voltarei, viu
Meu coração"
Mastruz Com Leite,Barriga Crescida,"Quando agente namorava você era uma princesa
Ai meu Deus eu me afobava diante de tanta beleza
Era um tal de roupa nova, um tal de perfume francês
E eu quase nem me aguentava pensando na primeira vez
O enxoval todo de renda com nosso nome bordado
Você era a minha prenda, eu o feliz premiado
Era amor pra toda vida, amor pra mais nunca acabar
Você bela e bem vestida e eu tão ancho a te adorar

E agora que já faz muito tempo que a gente casou
Você não se cuida, você relaxou
Até parece que brigou com o espelho
Sua cabeça tá sempre com bob
Sua caçola de um lado ela sobe
E a camisola rasgada da noite de dia ela é robe
Vá la que seja que a vida é dura
De criar filhos tira a formosura
Mas se você não enfeitar o maracá eu não posso tocar
(bis)

Enquanto eu andava de bob, a sua barriga crescia
Enquanto eu lavava a caçola que sobe a sua cueca eu fervia
Enquanto a minha camisola era o robe que usava de noite e de dia
Você se deitava na cama, virava pro lado, peidava e dormia
Enquanto eu criava os meninos você só pensava em cachaça
Passa o fim de semana jogando baralho e dominó na praça

(Refrão)
Se eu briguei com o espelho você também brigou
Se eu fiquei de joelho você rastejou
(Bis)

Se eu era uma princesa, voce principiou
Se eu era perfumada como um botão de flor
Não era fingimento, foi tudo por amor
Nenhum dos dois tá certo, nenhum dos dois errou

Se você é do jeito que é, eu sou do jeito que sou
Se você tá do jeito que tá, eu tô do jeito que tô
(Bis)

(Refrão)"
Mastruz Com Leite,Beija-Flor,"Se o beija-flor descobrisse a doçura dos teus lábios
Não perderia tempo mais de em flor em flor
Essa menina eu já tô com meus olhos encarnados
De chorar por que não tenho o seu amor

Essa menina eu já tô com meus olhos encarnados
De chorar por que não tenho o seu amor

Tu não tem pena deu
Sorri ao me ver chorar
Mas eu tenho fé em Deus
Que sendo ou não um beija-flor um dia vou te beijar

A tua sombra se confundi na lagoa com o luar
Até a maré sobe só pra te espiar
Tua tristeza ainda posso comparar a natureza
Essa menina é muito linda tua beleza

Tu não tem pena deu
Sorri ao me ver chorar
Mas eu tenho fé em Deus
Que sendo ou não um beija-flor um dia vou te beijar

A tua sombra se confundi na lagoa com o luar
Até a maré sobe só pra te espiar
Tua tristeza ainda posso comparar a natureza
Essa menina é muito linda tua beleza

Tu não tem pena deu
Sorri ao me ver chorar
Mas eu tenho fé em Deus
Que sendo ou não um beija-flor um dia vou te beijar"
Mastruz Com Leite,Bem Amada,"Veja eu dormi junto a ti
E você acordar o sorridente bem amado
Quero contigo viver, e nunca mais vou deixar você mendigar amor em outros braços
ah ah ah ah ah ah ah ah

Beijar na boca é bom, é bom
È tão bom que agente gama
Fazer amor é bom, é bom mas com quem a gente ama"
Mastruz Com Leite,Bem Que Mamãe Dizia,"Minha mãe sempre me disse
'Minha filha, abra o olho'
Esse cabra não te ama
Só quer te deixar no molho
Tome cuidado com a vida
Menina, você se ferra
Esse caboco posudo
Não vale o que a gata enterra

Não vale o que a gata enterra
Não vale o que a gata enterra
Esse cabra só tem pose (Esse caboco posudo)
Não vale o que a gata enterra

Vale nada, minha filha! Vai por mim!

O diabo é que eu fui gostando
Dos agrados do safado
Tanto beijo, tanto abraço
Gostosinho apertado
Num lugar cheio de espelhos
Me levou pra passear
Cama redonda, Tv
Bom mesmo até pra morar
E num só piscar de olhos
Mais ligeiro que o vento
Eu vi o mundo rodando
E o cabra mexendo dentro

E o cabra mexendo dentro
E o cabra mexendo dentro
Eu vi o mundo rodando
E o cabra mexendo dentro

Mas que cabra safado

Bem que mamãe me disse"
Mastruz Com Leite,Boi Bumbá,"Ei boi, ei boi, ei boi do
Manganga (bis)
Quem não tem chacolateira não
tomar café nem chá. (bis)
Não toma café nem chá. (bis)

Ei boi, ei boi, ei boi do Ceará (bis)
Muié segura o menino que eu
agora vou dançar (bis)
Que eu agora vou dançar. (bis)

Ei boi, ei boi, ei boi do
Piauí (bis)
Quem não dançar esse boi não
pode sair daqui. (bis)
Não pode sair daqui. (bis)

Ei boi, ei boi, ei boi do
Macapá (bis)
Quem tá dançando esse boi é o
prefeito do lugar. (bis)
É o prefeito do lugar (bis)

Vamo repartir o boi pessoal?
Vamo!

Para onde vai a barrigueira?
Vai pra Miguel Pereira
E a vassora do rabo?
Vai para o Zé Nabo
De quem é o osso da pá?
De joãozinho da potiguar
E a carne quem tem na nuca?
E de seu Manduca
De quem é o quarto traseiro?
É para o Seu Joaquim marcineiro
E o osso alicate?
De Maria Batulate
Pra quem do a tripa fina?
De para Sabina
Pra quem manda esse bofe?
Do doutor Orlofe
E a capa do filé?
Mande para o Zezé
E os ossos do pé?
Pro Mário do Culé
Pra quem do o filé mignom?
Para o Doutor Calmon
E o osso da fuam?
De para o Doutor Borjan
Não é belo nem doutor?
Mais é trabalhador
Mais é véio macho sim senhor
Mais é véio macho sim senhor
É bom pra trabalhar arrocha o
ano até suar

Ei boi, ei boi, ei boi do
Manganga (bis)
Quem não tem chacolateira não
tomar café nem chá. (bis)"
Mastruz Com Leite,Cabeça Com Bob's,"Quando a gente namorava, você era uma princesa
Ai meu Deus eu me afobava diante de tanta beleza
Era um tal de roupa nova um tal de perfume francês
Que eu quase nem me aguentava pensando na primeira vez

Enxoval tudo de renda com o nosso nome bordado
Você era minha prenda e eu o feliz premiado
Era amor pra toda vida amor pra mais nunca acabar
Você bela e bem vestida e eu tão ancho de a te adorar

E agora que já faz muito tempo que a gente casou
Você não se cuida você relaxou
Até parece que brigou com o espelho

Sua cabeça tá sempre com bob
Sua caçola de um lado ela sobe
E a camisa rasgada da noite
De dia ela é robe Bis

Vá lá que seja que a vida é dura
E criar filhos tira a formosura
Mas se você não enfeitar o macará
Eu não posso tocar"
Mastruz Com Leite,Canarinha do Sertão,"Dessa vez vai ter que dá
Vai ter dá de goleada
Dessa vez o futebol
Tem que acabar em forró

No salão só vai dar verde e amarelo
Meu sertão verdinho é o que eu mais quero
Do pescoço pra baixo é forró
A seleção tá, tá, tá muito melhor
Brasil, Brasil, Brasil

Dessa vez vai ter que dá
Vai ter dá de goleada
Dessa vez o futebol
Tem que acabar em forró

Eu quero ver todo meu povo sorrindo
Chuva de gols, rosas e rosas florindo
Que nem forró vai dá no meio da canela
Nossa alegria vai ser verde e amarela
Brasil, Brasil, Brasil

Dessa vez vai ter que dá
Vai ter dá de goleada
Dessa vez o futebol
Tem que acabar em forró

O ""States'' e o mundo vão ter que aplaudir
De pé e em fé, mil gols terão que surgir
De pé e em fé, o Brasil jogar futebol
No arrasta-pé a gente dança o forró
Mastruz, mastruz, mastruz com Leite (Brasil, Brasil, Brasil)

Dessa vez vai ter que dá
Vai ter dá de goleada
Dessa vez o futebol
Tem que acabar em forró"
Mastruz Com Leite,Cartão Vermelho,"O amor que você fez nascer em mim se vai
Como se fosse um eco de uma multidão num clássico
Gritando gol
Eu dou cartão vermelho pra você
Por não saber jogar
Você cometeu faltas com quem só quis te amar
Vestiu sua camisa 10 tentando me humilhar
Você chutou pra fora amor

Você festeja com os amigos como se comemorasse um gol em mim
Quer ser o alvo da atenção como se fosse um artilheiro
O nosso amor é mais uma partida de futebol
E pra voce eu sempre sou a bola
Voce me chuta e depois corre atrás
Na grande área voce me trai"
